"","neutral_082.jpg","neutral_103.jpg","neutral_104.jpg","neutral_114.jpg","neutral_116.jpg","neutral_121.jpg","neutral_194.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_J2.jpg","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N20.bmp","neutral_r.jpg","neutral_SP3.jpg","neutral_N17.bmp"
"neutral_082.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.666666666666667,0,0,0,0,0
"neutral_103.jpg",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0
"neutral_104.jpg",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"neutral_114.jpg",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"neutral_116.jpg",0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0
"neutral_121.jpg",0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0.666666666666667,0,0,0,0,0.5,0.333333333333333,0
"neutral_194.jpg",0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0,0.5,0,0,0,1,1,0,1,0,0,0,0
"neutral_2019.jpg",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"neutral_2200.jpg",0,1,0,0,0,0,0,0,0,0.5,0,1,0.5,1,0,0.5,1,0,0,1,0,0,0,1,0.333333333333333
"neutral_2305.jpg",0,0,1,0,0.5,0,0.25,1,0.5,0,0,1,0,0,1,0,1,0.5,0,0,0,0.5,0,1,0
"neutral_2393.jpg",0,0,0,0,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0,1,0,1,1,1
"neutral_2394.jpg",0,0,1,1,0,0,0.333333333333333,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"neutral_2442.jpg",0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0
"neutral_2495.jpg",0,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2850.jpg",0,0,0,0,0,1,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_BP5.jpg",0,0.5,1,0,1,0,0,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0
"neutral_J2.jpg",0.5,1,0,1,0.5,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"neutral_N05.bmp",0,1,0,0,0,0.666666666666667,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,1
"neutral_N07.bmp",0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1
"neutral_N12.bmp",0.666666666666667,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0
"neutral_N13.bmp",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"neutral_N20.bmp",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0
"neutral_r.jpg",0,0,0,0,0,0.5,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,1,0,0,1,0
"neutral_SP3.jpg",0,0,1,0,0,0.333333333333333,0,1,1,1,1,0,0,0,0,0,0,0.5,0.333333333333333,0,1,0,1,0,0
"neutral_N17.bmp",0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
