"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_116.jpg","neutral_117.jpg","neutral_157.jpg","neutral_169.jpg","neutral_186.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2215.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_NF4.jpg","neutral_r.jpg","neutral_SP2.jpg"
"neutral_082.jpg",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_099.jpg",0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"neutral_103.jpg",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"neutral_116.jpg",0,0,0,0,0.5,0.5,0,0,1,0,0,0.5,0,0.5,0,0.5,0,1,0.5,0,0.5,0,0,0,0
"neutral_117.jpg",1,0.333333333333333,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"neutral_157.jpg",0,1,0,0.5,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"neutral_186.jpg",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"neutral_191.jpg",0,0,0,1,0,1,0,1,0,0.5,0,0,0,1,0,0,0,1,0.5,0,1,0,0,0,1
"neutral_199.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0.75,0,0.5,1,1,0,0,0,0,0
"neutral_2215.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2745.1.jpg",1,0,1,0.5,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0.5
"neutral_BP5.jpg",0,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_N01.bmp",0,0,0,0.5,0,1,0,0,1,0.5,0,0,0,0,0,0,1,0.333333333333333,0.666666666666667,0.5,1,0.5,0,0,0
"neutral_N04.bmp",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
"neutral_N05.bmp",0,1,0,0.5,0,0,0,0,0,0.75,0,0,0,0,1,0,0,0,0.75,1,0,1,0,0,0
"neutral_N07.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.666666666666667,0,0.5,0,0,0,0,0
"neutral_N13.bmp",0,0,0,1,0,0,0,0.5,1,0.5,0,0.666666666666667,0,0.333333333333333,0,0,0.666666666666667,0,0,0,0,1,0,0,0
"neutral_N17.bmp",0,0,0,0.5,0,0,1,0,0.5,1,0,0,0,0.666666666666667,1,0.75,0,0,0,1,0,1,0,0,0
"neutral_N19.bmp",0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0,1,0.5,0,1,0,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0.5,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"neutral_N34.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,1,0,1,0,0,0,0
"neutral_NF4.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"neutral_r.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_SP2.jpg",0,0,1,0,1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
