"","neutral_082.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_156.jpg","neutral_169.jpg","neutral_191.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_N01.bmp","neutral_N04.bmp","neutral_N13.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N34.bmp","neutral_NF1.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,0.5,1,0,1,0,0.5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"neutral_114.jpg",0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0
"neutral_116.jpg",1,1,0,1,1,0,0,1,0,0.5,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,0,1,0,0,0,0,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.5,0,0
"neutral_121.jpg",1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,1,0,0,0,0.5
"neutral_156.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.333333333333333,0,0
"neutral_169.jpg",0.5,0,0,0,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0.666666666666667
"neutral_191.jpg",0,0,1,0.5,0,0,0.5,0,0,0,0,0,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,1,0
"neutral_2305.jpg",0,0,0.5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333333333,0,1,1,0
"neutral_2495.jpg",0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0.5,0,0,1,1,0.333333333333333,0
"neutral_2850.jpg",1,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,1,0,0,0,0.5,0.5,0,0.75,0
"neutral_BP5.jpg",0,0,0,0,0,0,0.5,0.666666666666667,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"neutral_D.jpg",1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"neutral_N01.bmp",0,0.333333333333333,0.5,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0.5
"neutral_N04.bmp",1,0,1,0,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0,0
"neutral_N13.bmp",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,1,0,0,0,0,0,1
"neutral_N20.bmp",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"neutral_N22.bmp",0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0.5,1,0,0,1,0.5,1,0,0,0
"neutral_N34.bmp",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"neutral_NF1.jpg",0,0,0,0,1,0,1,0,0,0.333333333333333,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0.5,0,0,0
"neutral_NF4.jpg",0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0,0.5,0,0,1,0
"neutral_r.jpg",0,0,0,0.5,0,0.333333333333333,0,0,0,1,1,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0
"neutral_SP2.jpg",0,0,0,0,0,0,0,0,1,1,0.333333333333333,0.75,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_SP3.jpg",0,0,0,0,0.5,0,0.666666666666667,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0
