"","positive_056.jpg","positive_073.jpg","positive_2025.jpg","positive_2217.jpg","positive_2304.jpg","positive_2501.jpg","positive_2550.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_8461.jpg","positive_b.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_r4.jpg","positive_y5.jpg"
"positive_056.jpg",0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,1,1,0,0,0,0.5,0,0,1,0
"positive_073.jpg",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,1,0.666666666666667,0,0,1,1,0
"positive_2025.jpg",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"positive_2217.jpg",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"positive_2304.jpg",0,0,1,1,0,0,0.333333333333333,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"positive_2501.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"positive_2550.jpg",0,0,0,1,0.333333333333333,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.5,0,0.2,1
"positive_4598.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0,0.5,1,0,0
"positive_4689.jpg",0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0.5,0,0,0.5,0,0.5,0,0.333333333333333,0
"positive_5628.jpg",0,0,1,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0.5,1,0,0,1,0,0,0.666666666666667,0
"positive_5831.jpg",0.333333333333333,0,0,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
"positive_7325.jpg",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0
"positive_7499.jpg",0,1,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"positive_7502.jpg",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"positive_7660.jpg",1,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0
"positive_8120.jpg",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
"positive_8461.jpg",1,0,0,0,0,0,0,0.5,0.5,0.5,0,1,0,0,1,0,0,0,0.75,0,0,0,0,0,0
"positive_b.jpg",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_d6.jpg",0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.5,1,0.75,0,0,0,0,0,0,1,0
"positive_EF1.jpg",0,0.666666666666667,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"positive_g6.jpg",0.5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"positive_m9.jpg",0,0,0,0,0,0,0.5,0.5,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"positive_p1.jpg",0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"positive_r4.jpg",1,1,0,0,0,0,0.2,0,0.333333333333333,0.666666666666667,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"positive_y5.jpg",0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0
