"","negative_206.jpg","negative_207.jpg","negative_2122.jpg","negative_2130.jpg","negative_216.jpg","negative_224.jpg","negative_2410.bmp","negative_2458.jpg","negative_251.jpg","negative_2810.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_L04.bmp","negative_L24.bmp","negative_MF2.jpg","negative_L02.bmp"
"negative_206.jpg",0,1,0,0,0,0,1,0.5,1,0,0,0,1,0,0,0,0,0,0,0.5,0,1,1,0.666666666666667,0
"negative_207.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,0.333333333333333,0,1,1,1,1,1
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0
"negative_2130.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,0
"negative_216.jpg",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.666666666666667,0,0,0,0,0,0
"negative_224.jpg",0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
"negative_2410.bmp",1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2458.jpg",0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0.5,1,1,0
"negative_251.jpg",1,0,0,0,0,1,0,0,0,0.333333333333333,0,0.333333333333333,1,0,0,0,1,0,0,1,0,1,0.5,0.2,1
"negative_2810.jpg",0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0.5,0,0.333333333333333
"negative_6211.jpg",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"negative_6212.jpg",0,0,0,0,1,0,0,0,0.333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_6311.jpg",1,1,0,0.5,0,1,0.666666666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
"negative_6555.jpg",0,0,0.666666666666667,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333
"negative_65701_1.jpg",0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_6821.jpg",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"negative_8231.jpg",0,0,0,0,0,0,0,0.5,1,0.5,0,0,1,0,0,0,0,0,1,0,0.5,1,0,0.333333333333333,0
"negative_9600.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_AF3.jpg",0,0.333333333333333,0,1,0.666666666666667,1,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0.75,0,0,0.5,0,0
"negative_b7.jpg",0.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
"negative_c5.jpg",0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0.5,0,0,0,0,0,0.5,0,0
"negative_L04.bmp",1,1,0,0,0,0,0,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"negative_L24.bmp",1,1,0,0,0,0,0,1,0.5,0.5,0,0,1,0,1,0,0,0,0.5,0,0.5,0,0,0,0
"negative_MF2.jpg",0.666666666666667,1,0,0,0,1,0,1,0.2,0,0,1,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"negative_L02.bmp",0,1,0,0,0,0,0,0,1,0.333333333333333,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
