"","neutral_082.jpg","neutral_103.jpg","neutral_104.jpg","neutral_114.jpg","neutral_117.jpg","neutral_186.jpg","neutral_191.jpg","neutral_2019.jpg","neutral_2215.jpg","neutral_2393.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_J2.jpg","neutral_N01.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_NF1.jpg","neutral_NF4.jpg","neutral_S5.jpg","neutral_r.jpg"
"neutral_082.jpg",0,0,0,1,0,0.5,0,1,0.333333333333333,1,0,0.5,0,0,0.5,0,0,0,0,0,0,1,0,1,0
"neutral_103.jpg",0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.5,0,0.333333333333333,0,0,0,0,1,0,1
"neutral_104.jpg",0,0,0,1,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_114.jpg",1,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0.5
"neutral_117.jpg",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0
"neutral_186.jpg",0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.5,0
"neutral_191.jpg",0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"neutral_2019.jpg",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"neutral_2215.jpg",0.333333333333333,1,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0,0,0,0,0.5,0,1,0,0
"neutral_2393.jpg",1,0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,1,0,0,0,0.333333333333333,0,0,0,0,0,1,0
"neutral_2495.jpg",0,0,0.5,1,1,0,0,0,0,0,0,1,1,0,0,0.25,0,0,0,0,0,0,0,0,1
"neutral_2850.jpg",0.5,1,0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_J2.jpg",0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"neutral_N01.bmp",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_N12.bmp",0.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.666666666666667,0.5,0.75,0.666666666666667,0.5,0,0,0.5,0
"neutral_N13.bmp",0,0.5,0,0,0,0,0,0,1,0,0.25,0,0,0,1,0,0.666666666666667,0.75,0,1,0,0,0,1,0
"neutral_N20.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0,1,1,0,0.5,0,0,0,0
"neutral_N22.bmp",0,0.333333333333333,0,0,0,1,0,0,0,0.333333333333333,0,0,0,1,0.5,0.75,1,0,0.666666666666667,0,0.5,0,0,0,0
"neutral_N31.bmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75,0,1,0.666666666666667,0,1,1,0,0,0,0
"neutral_N33.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,1,0,1,0,0,0,0
"neutral_N34.bmp",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5,1,1,0,0,0,0,0
"neutral_NF1.jpg",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_NF4.jpg",0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_S5.jpg",1,0,0,0,0.5,0.5,0,0,0,1,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0
"neutral_r.jpg",0,1,0,0.5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
