"","neutral_082.jpg","neutral_099.jpg","neutral_116.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_156.jpg","neutral_191.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_BP5.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N12.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_r.jpg","neutral_S5.jpg"
"neutral_082.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.333333333333333,0.5,0,0.5
"neutral_099.jpg",0,0,0,0,0,0,0.5,1,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
"neutral_116.jpg",0,0,0,1,1,0,0,0.5,0,1,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0,0,0,0
"neutral_117.jpg",0,0,1,0,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
"neutral_121.jpg",0,0,1,0,0,0,0,1,0.333333333333333,1,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"neutral_124.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"neutral_156.jpg",0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0,0
"neutral_191.jpg",0,1,0.5,1,1,0,0,0,1,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"neutral_194.jpg",0,0.5,0,1,0.333333333333333,0,0,1,0,0,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1
"neutral_199.jpg",0,0.5,1,0,1,0,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_2019.jpg",0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0.5,0,1
"neutral_2200.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"neutral_2305.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,1,0,1,0
"neutral_2393.jpg",0,0.5,0,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"neutral_2442.jpg",1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_BP5.jpg",0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1,1
"neutral_N04.bmp",0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0
"neutral_N05.bmp",0,0,0.333333333333333,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0.5,0,0,0,0
"neutral_N12.bmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0
"neutral_N31.bmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.666666666666667,0,0,0,0
"neutral_N33.bmp",0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0.5,1,0.666666666666667,0,0,0,0,0
"neutral_n5.jpg",0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8
"neutral_NF1.jpg",0.5,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0.5,0,0,0,0,0.75,0
"neutral_r.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.5,1,0,0,0,0,0,0,0.75,0,0
"neutral_S5.jpg",0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.8,0,0,0
