"","negative_2095.jpg","negative_215.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_2410.bmp","negative_251.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_8231.jpg","negative_9041.jpg","negative_9421.jpg","negative_9530.bmp","negative_DF1.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L08.bmp","negative_L24.bmp","negative_MF2.jpg"
"negative_2095.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1
"negative_215.jpg",0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0,0.333333333333333,1,0,1,1,0,1,0,0,0,0,0,0
"negative_216.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0.5,0,0
"negative_217.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0
"negative_224.jpg",0,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0,1,1
"negative_2410.bmp",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_251.jpg",0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.333333333333333
"negative_2810.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"negative_3180.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"negative_3280.jpg",0,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.2
"negative_6212.jpg",0,0.5,0,0,0,0,0,0,0,0,0,1,1,0.5,0,1,0,0,0,0,0.5,0,0,0,1
"negative_6510.jpg",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0.5
"negative_6555.jpg",0,0.333333333333333,0,0,0.5,0,0,0,0,0,1,0,0,0.5,1,0.5,0,0,1,0.5,0,0,0.333333333333333,0,0
"negative_8231.jpg",0,1,0,0,0,0,0,0,1,0,0.5,0,0.5,0,0,1,0,0.5,0,0,0,0,0,0.5,0
"negative_9041.jpg",0,0,0.5,0,0.5,0,0,0,1,0,0,0,1,0,0,0.5,0,0,0,0,0.75,0,0,0.333333333333333,0
"negative_9421.jpg",1,1,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0.5,0,0,0,1,1,0,0,0,0,0
"negative_9530.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.666666666666667,0,0,0.5,1
"negative_DF1.jpg",1,0,0,1,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
"negative_h11.bmp",1,1,0.5,0,0,0,1,0,0,0,0,0,1,0,0,1,0.75,0,0,0,0,0,0,0,0.333333333333333
"negative_I1.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0
"negative_L02.bmp",1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.75,0,0.666666666666667,0,0,0,0,0,0,1,0.5
"negative_L04.bmp",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"negative_L08.bmp",0,0,0.5,0,0,0,0,1,0,0.5,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"negative_L24.bmp",0,0,0,0.666666666666667,1,0,0,0,0,0,0,0.5,0,0.5,0.333333333333333,0,0.5,0,0,0,1,0,0,0,1
"negative_MF2.jpg",1,0,0,0,1,0,0.333333333333333,0,1,0.2,1,0.5,0,0,0,0,1,0,0.333333333333333,0,0.5,0,0.333333333333333,1,0
