"","neutral_082.jpg","neutral_104.jpg","neutral_106.jpg","neutral_114.jpg","neutral_116.jpg","neutral_124.jpg","neutral_157.jpg","neutral_169.jpg","neutral_194.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N20.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_n5.jpg","neutral_S5.jpg"
"neutral_082.jpg",0,1,0,0,1,1,0,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0,1
"neutral_104.jpg",1,0,1,0,0.5,0,0,0,0,1,1,0,0.666666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.666666666666667
"neutral_106.jpg",0,1,0,0,1,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_114.jpg",0,0,0,0,1,1,0,0,0,0,1,0,0.5,0,0.333333333333333,0,1,1,0,0,0,0,1,0,0
"neutral_116.jpg",1,0.5,1,1,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_124.jpg",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.25,0,1,1,0.5,0,1,1,0,0,0
"neutral_157.jpg",0,0,0,0,1,0,0,0,1,0,0,0,0.75,0,0,0,0,1,0,1,0,0.5,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0
"neutral_194.jpg",0,0,0,0,0,0,1,0.5,0,0.333333333333333,0,0,0.25,0,1,0,0,0,1,0.5,0.5,0,1,0,0
"neutral_2215.jpg",0,1,0.5,0,0.5,0,0,0,0.333333333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"neutral_2305.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"neutral_2442.jpg",1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"neutral_2745.1.jpg",0,0.666666666666667,0,0.5,0,0,0.75,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_BP5.jpg",0.5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"neutral_N05.bmp",0,0,0,0.333333333333333,0,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"neutral_N07.bmp",0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,1,0.666666666666667,0.333333333333333,0,0,0.5,0,0
"neutral_N12.bmp",0,0.333333333333333,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0.5
"neutral_N13.bmp",1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,1
"neutral_N17.bmp",0,0,0,0,0,0.5,0,0,1,0,0,0,0,1,1,0.666666666666667,1,0.5,0,1,1,1,1,0,0
"neutral_N20.bmp",0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0.333333333333333,1,0,1,0,0.5,1,1,0,0
"neutral_N31.bmp",0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
"neutral_N34.bmp",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0,1,1,0,1,0,0,0
"neutral_n5.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_S5.jpg",1,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0
