"","negative_113.jpg","negative_2095.jpg","negative_2122.jpg","negative_216.jpg","negative_217.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9440.jpg","negative_9530.bmp","negative_DP3.jpg","negative_L02.bmp","negative_L08.bmp","negative_MF2.jpg","negative_L24.bmp"
"negative_113.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0
"negative_2095.jpg",0,0,0,0,1,0,0,1,0.666666666666667,0,1,0,0,0,0,0,0,1,1,0.5,0,1,0.5,0.5,0
"negative_2122.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_216.jpg",0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_217.jpg",0,1,0,0.5,0,0,1,0,0,0.666666666666667,0,0,0,0.5,0,0,0,1,0,1,1,0.666666666666667,0,1,1
"negative_2753.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2810.jpg",0,0,1,0.5,1,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,1,0
"negative_3180.jpg",0,1,0,0,0,0,0,0,0,0,0,1,0.25,0,0,1,0,0,0.5,0.5,0.666666666666667,0,0,0,1
"negative_3280.jpg",0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0
"negative_6211.jpg",0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0
"negative_6212.jpg",0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"negative_6311.jpg",0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1
"negative_6510.jpg",0,0,0,0,0,1,0,0.25,0,0.5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,1,0,0,0.5,0,0,0,0,0,0
"negative_65701_1.jpg",0,0,0,0,0,0,0.5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
"negative_8231.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,1,0,0.666666666666667
"negative_9041.jpg",0,1,0,0,1,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,1,1
"negative_9440.jpg",0.25,1,0,0,0,0,0,0.5,0,0,0,0.5,1,0.5,0,0,0.5,0,0,0,0,0,0.5,0.333333333333333,0
"negative_9530.bmp",0.5,0.5,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.666666666666667,0.666666666666667,0
"negative_DP3.jpg",0,0,0,0,1,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.75
"negative_L02.bmp",0,1,0,1,0.666666666666667,0,0,0,0,0.333333333333333,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.333333333333333
"negative_L08.bmp",0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.5,0.666666666666667,0,0,0,1,0
"negative_MF2.jpg",0,0.5,0,0,1,0,1,0,0,0.666666666666667,1,0.5,0,0,0,0,0,1,0.333333333333333,0.666666666666667,0.333333333333333,0,1,0,0
"negative_L24.bmp",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.666666666666667,1,0,0,0.75,0.333333333333333,0,0,0
