"","neutral_099.jpg","neutral_103.jpg","neutral_104.jpg","neutral_106.jpg","neutral_116.jpg","neutral_117.jpg","neutral_124.jpg","neutral_191.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N34.bmp","neutral_N31.bmp","neutral_SP3.jpg"
"neutral_099.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"neutral_103.jpg",0,0,0,0,0,0.666666666666667,0,0,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"neutral_104.jpg",1,0,0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0
"neutral_106.jpg",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_116.jpg",0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,0.666666666666667,0.5,0,0.5,0,0,0,0.75,0,0,1,0,1,0,1,0,0.5,0,0,0,0.5,0,0,0.5
"neutral_124.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5,0
"neutral_191.jpg",0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0,0,1,1,0,1,1,0,1,0
"neutral_2019.jpg",0,0.25,1,1,0,0.75,0,0,0,0,0.25,1,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,1
"neutral_2200.jpg",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"neutral_2215.jpg",0,1,0,0,0,0,0,0,0.25,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"neutral_2305.jpg",0,1,1,0,0,1,0,0,1,0,0,0,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0
"neutral_2393.jpg",0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,1,0,1,0.75,0,1,1,0,0
"neutral_2394.jpg",1,0,0,0,0,1,0,0,0.5,1,1,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_2442.jpg",1,0,0,0,1,0,0,0.333333333333333,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1
"neutral_J2.jpg",0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1
"neutral_N04.bmp",0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,1,0,0,0.5,1,0
"neutral_N12.bmp",0,0,0,0,0,0.5,0,1,0.5,0,0,0,0,0,0,0,1,0,0.5,0,0.5,0,1,0,0
"neutral_N13.bmp",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.5,0,0.5,1,0,1,0,0.333333333333333
"neutral_N17.bmp",0,0,0.5,0,0,0,0,0,0,0,0,0,0.75,0,0,0,1,0,0.5,0,0,0,0,0,0
"neutral_N19.bmp",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0.5
"neutral_N20.bmp",1,0,0.5,1,0,0.5,0,1,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,1,0.666666666666667,0
"neutral_N34.bmp",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.5,1,1,0,0,1,0,0,0
"neutral_N31.bmp",0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.666666666666667,0,0,0
"neutral_SP3.jpg",0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,1,1,0,0,0.333333333333333,0,0.5,0,0,0,0
