"","negative_113.jpg","negative_207.jpg","negative_2095.jpg","negative_216.jpg","negative_228.jpg","negative_251.jpg","negative_2810.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_8231.jpg","negative_9041.jpg","negative_9440.jpg","negative_AF3.jpg","negative_b7.jpg","negative_h11.bmp","negative_L02.bmp","negative_L08.bmp","negative_L24.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_113.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"negative_207.jpg",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"negative_2095.jpg",0,1,0,0,0,0.333333333333333,1,0,0.5,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"negative_216.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0
"negative_228.jpg",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,1,1
"negative_251.jpg",1,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1,0,0.5,0,0.5,0.333333333333333
"negative_2810.jpg",0,0,1,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"negative_6211.jpg",0,0,0,1,0,0,0,0,0,0.5,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0
"negative_6212.jpg",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.5,0,1,0,0
"negative_6311.jpg",0,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.25,1,1,0,0,0,1,0,1,0,1
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.25,0,0,0,0,0,0,0,0
"negative_65701_1.jpg",0,0,0,0,0,0.333333333333333,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_6821.jpg",0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"negative_8231.jpg",0,0,0,1,0,0,0,0.5,1,0.25,1,0,1,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0
"negative_9041.jpg",0,0,1,0,0.5,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,0.4,0,1,0,0,0.5,0
"negative_9440.jpg",0,0,0,0.5,0,0,0,0,0,1,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_AF3.jpg",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"negative_b7.jpg",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0.4,0,1,0,0,1,1,0,1,0
"negative_h11.bmp",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
"negative_L02.bmp",0,0,0,0,1,0,0,0,0.5,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
"negative_L08.bmp",0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"negative_L24.bmp",0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0
"negative_MF2.jpg",0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1,1,1,0.5,0,0.5
"negative_SF4.jpg",1,1,0,0,1,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0
