"","positive_041.jpg","positive_042.jpg","positive_047.jpg","positive_056.jpg","positive_078.jpg","positive_2300.jpg","positive_2306.jpg","positive_2395.jpg","positive_2501.jpg","positive_4598.jpg","positive_4689.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7499.jpg","positive_8300.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_s2.jpg","positive_y5.jpg","positive_p1.jpg"
"positive_041.jpg",0,1,1,0,0,0,0.5,1,0,0,0.5,1,0,0,0.5,0,0,1,0.5,0,0.333333333333333,0,0,1,0
"positive_042.jpg",1,0,1,0.25,0,0,0,0.333333333333333,0,1,1,0,1,0,1,0,0.333333333333333,0,1,0,0.75,0,0.5,0,1
"positive_047.jpg",1,1,0,0,0,0,1,0.666666666666667,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"positive_056.jpg",0,0.25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_078.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_2300.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_2306.jpg",0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_2395.jpg",1,0.333333333333333,0.666666666666667,0,0,0,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1
"positive_2501.jpg",0,0,0,0,0,0,0,1,0,0,0.5,1,0.5,0,1,0,0,0,1,0,0,0,0.333333333333333,0,0
"positive_4598.jpg",0,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0.6,0,1,0,0,0,0,0,1
"positive_4689.jpg",0.5,1,0,1,0,0,0,0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"positive_5830.jpg",1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0.5,0,0,0,0
"positive_5831.jpg",0,1,0,0,0,0,0,0.5,0.5,0,1,1,0,1,0.5,0,0.333333333333333,0,0,0,0,0,0,0,1
"positive_7325.jpg",0,0,1,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,1,0,0.5,0,1,0,0
"positive_7499.jpg",0.5,1,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0,0,1,0,0.5,0,0,0,0,0,0
"positive_8300.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_8461.jpg",0,0.333333333333333,0,0,0,0,0,0,0,0.6,0,0,0.333333333333333,0,1,0,0,0,1,0,0,0,0,0,0
"positive_8470.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_b.jpg",0.5,1,1,0,0,0,0,0,1,1,0,0,0,1,0.5,0,1,0,0,0,0,0,0,0,1
"positive_EF1.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
"positive_g6.jpg",0.333333333333333,0.75,0,1,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0
"positive_hp2.jpg",0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"positive_s2.jpg",0,0.5,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,0
"positive_y5.jpg",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
"positive_p1.jpg",0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
