"","negative_113.jpg","negative_206.jpg","negative_207.jpg","negative_2095.jpg","negative_2130.jpg","negative_215.jpg","negative_228.jpg","negative_251.jpg","negative_2753.jpg","negative_2810.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_6821.jpg","negative_9190.jpg","negative_9421.jpg","negative_AF3.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_L24.bmp","negative_SF4.jpg","negative_T1.jpg"
"negative_113.jpg",0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.8,0
"negative_206.jpg",0,0,1,0,0.333333333333333,0.5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"negative_207.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"negative_2095.jpg",0,0,1,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0.25,0,1,0,0,1,0,0.75,0,0.5
"negative_2130.jpg",0.5,0.333333333333333,0,0.5,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0.333333333333333,0,0,0,0,0,0,0
"negative_215.jpg",0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,1,0,1
"negative_228.jpg",1,0,0,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0.666666666666667,1,0,1
"negative_251.jpg",0,1,0,0,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
"negative_2753.jpg",0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0.333333333333333,1,0,0,0
"negative_2810.jpg",0,1,0,0.5,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"negative_3180.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.5,0,0
"negative_3280.jpg",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0.5,1,0,0,0,0,1
"negative_6211.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_6311.jpg",0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0,1,0,1,0
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,1,0,0,0,0,0
"negative_6555.jpg",0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0.5,0,0,0,0.333333333333333,0,0
"negative_6821.jpg",0,0,0,0,1,0,0,0,0.5,1,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0
"negative_9190.jpg",1,0,0,1,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0.5,0,1,0,0,0,0,1,1,0.333333333333333,0,0
"negative_9421.jpg",1,0,1,0,0,0,0.666666666666667,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,1,0,0
"negative_AF3.jpg",0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"negative_DF1.jpg",0,1,1,1,0,0,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"negative_FP3.jpg",1,0,0,0,0,1,0.666666666666667,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"negative_L24.bmp",1,0,0,0.75,0,1,1,0.5,0,0,0.5,0,0,0,0,0.333333333333333,0,0.333333333333333,1,0,1,0,0,1,0
"negative_SF4.jpg",0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5
"negative_T1.jpg",0,0,0,0.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
