"","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_056.jpg","positive_073.jpg","positive_078.jpg","positive_2300.jpg","positive_2304.jpg","positive_2306.jpg","positive_2395.jpg","positive_4574.jpg","positive_4689.jpg","positive_5628.jpg","positive_5830.jpg","positive_7325.jpg","positive_7499.jpg","positive_8461.jpg","positive_b.jpg","positive_hp2.jpg","positive_p1.jpg","positive_s1.jpg","positive_s2.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_015.jpg",0,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.333333333333333,0,0.666666666666667,0,0
"positive_032.jpg",1,0,0,1,0,1,0,0,0,0,0.5,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0
"positive_041.jpg",1,0,0,0,0.5,1,1,0,0,0,1,0,0.333333333333333,0.5,0,1,1,1,0,1,1,0,0,0,0
"positive_042.jpg",0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,1,0,0,1,0.75,1,0.5,0
"positive_056.jpg",0.5,0,0.5,0.5,0,1,0,0,0,1,0.333333333333333,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0.5,1,0
"positive_073.jpg",1,1,1,0,1,0,1,0,0,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"positive_078.jpg",0,0,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0
"positive_2300.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1
"positive_2304.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"positive_2306.jpg",0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1
"positive_2395.jpg",0,0.5,1,0,0.333333333333333,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"positive_4574.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0.666666666666667,0,0,1,0,0,0,0,0,0
"positive_4689.jpg",0,0,0.333333333333333,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0
"positive_5628.jpg",0,0,0.5,0,0,0,0.5,0.5,0,0,0,1,0,0,1,0,0,0,1,0.333333333333333,0,0,0,0,0
"positive_5830.jpg",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.5,1,0,0,0,0,0,0
"positive_7325.jpg",0,0.5,1,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_7499.jpg",0,0.5,1,0.333333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,0,0
"positive_8461.jpg",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.666666666666667,0,0,0,0,0,1,1,0
"positive_b.jpg",1,0,0,0,0.666666666666667,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
"positive_hp2.jpg",0,0,1,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0
"positive_p1.jpg",0.333333333333333,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0
"positive_s1.jpg",0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0
"positive_s2.jpg",0.666666666666667,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,1,0.333333333333333,0,1,0
"positive_t1.jpg",0,0,0,0.5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.5,1,1,0,0
"positive_y5.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
