"","neutral_103.jpg","neutral_104.jpg","neutral_106.jpg","neutral_117.jpg","neutral_156.jpg","neutral_169.jpg","neutral_186.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_2850.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N07.bmp","neutral_N19.bmp","neutral_N31.bmp","neutral_N33.bmp","neutral_N34.bmp","neutral_NF4.jpg","neutral_S5.jpg","neutral_r.jpg","neutral_SP3.jpg"
"neutral_103.jpg",0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0.5,0.5,1
"neutral_104.jpg",0.5,0,0.666666666666667,1,0,1,0,0,0.75,0,0,0,0,0,0.666666666666667,0,0,0.666666666666667,0,0,0,0,1,0.5,0
"neutral_106.jpg",0,0.666666666666667,0,0,0,1,1,0,0,0,0,0,0.333333333333333,0,0,0.5,1,0,0,0,0,0,0,0,1
"neutral_117.jpg",0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.5
"neutral_156.jpg",1,0,0,0,0,1,1,0,1,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,1,0
"neutral_169.jpg",1,1,1,1,1,0,0.666666666666667,0,0,0,0,1,0.333333333333333,0,0,1,1,0.333333333333333,0,0.5,0,0,0,0.5,0.5
"neutral_186.jpg",0,0,1,1,1,0.666666666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5
"neutral_2215.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2305.jpg",0,0.75,0,1,1,0,1,0,0,0,0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0.5,0,0
"neutral_2393.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2394.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_2495.jpg",0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,1,0,0.5,0,0,0,1,0
"neutral_2850.jpg",0,0,0.333333333333333,0,0.5,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"neutral_D.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_J2.jpg",0,0.666666666666667,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0
"neutral_N04.bmp",0,0,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.75,0.333333333333333,1,0,0,1,0.5,1
"neutral_N07.bmp",0,0,1,0,0,1,1,0,0.333333333333333,0,0,0,0,0,0.5,0,0,1,0,0.8,0,0,1,0,0
"neutral_N19.bmp",0,0.666666666666667,0,1,0,0.333333333333333,0,0,0,0,0,1,0,0,0,0.75,1,0,0.5,1,0,0,0,0,0.5
"neutral_N31.bmp",1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.333333333333333,0,0.5,0,0,1,0,0,0,0
"neutral_N33.bmp",0,0,0,0,1,0.5,1,0,0,0,0,0.5,0,0,0,1,0.8,1,0,0,0,0,1,0,1
"neutral_N34.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"neutral_NF4.jpg",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_S5.jpg",0.5,1,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1
"neutral_r.jpg",0.5,0.5,0,0,1,0.5,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"neutral_SP3.jpg",1,0,1,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0,1,0,0
