"","negative_113.jpg","negative_207.jpg","negative_2095.jpg","negative_2130.jpg","negative_215.jpg","negative_228.jpg","negative_2750.jpg","negative_2810.jpg","negative_3280.jpg","negative_6211.jpg","negative_6212.jpg","negative_6555.jpg","negative_8231.jpg","negative_9190.jpg","negative_9421.jpg","negative_b7.jpg","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_h11.bmp","negative_L04.bmp","negative_L08.bmp","negative_L29.bmp","negative_MF2.jpg","negative_SF4.jpg"
"negative_113.jpg",0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1
"negative_207.jpg",0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0.5,0
"negative_2095.jpg",0,0,0,0,1,0,1,0,0,0.5,0,0.5,0,0.5,0,0,1,0,0,1,0.666666666666667,1,0.2,0,0
"negative_2130.jpg",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.666666666666667,0,0,0,0,0,0,0,0,1,0
"negative_215.jpg",0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0.5,1,0,1,0
"negative_228.jpg",0,0.5,0,0,1,0,0,0,0,0,1,0,0,0.5,1,0,1,0,0,0,1,0,1,1,0
"negative_2750.jpg",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0.666666666666667,1,0
"negative_2810.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"negative_3280.jpg",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"negative_6211.jpg",0.333333333333333,0.5,0.5,0,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,1,0,0,1,1,0
"negative_6212.jpg",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.666666666666667,0,0,0,1,0,0,1,0
"negative_6555.jpg",0,0,0.5,0,0,0,1,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0
"negative_8231.jpg",0.5,0,0,1,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5
"negative_9190.jpg",0.5,0,0.5,1,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0
"negative_9421.jpg",0,0,0,0.666666666666667,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"negative_b7.jpg",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"negative_c5.jpg",0,0,1,0,0,1,1,0,0,0.5,0.666666666666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"negative_DF1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0
"negative_FP3.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"negative_h11.bmp",0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0.666666666666667,0,0,1,0.333333333333333
"negative_L04.bmp",0,1,0.666666666666667,0,0.5,1,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0.5,1,0.666666666666667,0,0,0.5,0,0
"negative_L08.bmp",0,0.333333333333333,1,0,1,0,1,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,1,1
"negative_L29.bmp",0,0,0.2,0,0,1,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1
"negative_MF2.jpg",0,0.5,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0.666666666666667
"negative_SF4.jpg",1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0,0,0,0,0,1,0.333333333333333,0,1,1,0.666666666666667,0
