"","positive_012.jpg","positive_015.jpg","positive_032.jpg","positive_041.jpg","positive_042.jpg","positive_2034.jpg","positive_2300.jpg","positive_2306.jpg","positive_2501.jpg","positive_4574.jpg","positive_4598.jpg","positive_5628.jpg","positive_5830.jpg","positive_5831.jpg","positive_7325.jpg","positive_7502.jpg","positive_8120.jpg","positive_8470.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_m9.jpg","positive_p1.jpg","positive_s1.jpg","positive_t1.jpg"
"positive_012.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
"positive_015.jpg",1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,1,0,0,0
"positive_032.jpg",0,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0.5,0,1,0,0,0,1,0,0.5,0
"positive_041.jpg",0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0.5,0.5,0,0,1,0,0,0,1,0,1,0,0,0,0.333333333333333
"positive_042.jpg",0,1,0,0,0,0.25,0.333333333333333,0,0,0,0,0,0.5,0,0,0,0,0,0,0.666666666666667,0,0,0.666666666666667,0,0
"positive_2034.jpg",0,0,0,0.333333333333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.25,1,0.5
"positive_2300.jpg",0,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,1,0,0.25,1,0,0,0,0,0,0,1,0,1
"positive_2306.jpg",1,0,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,1,0
"positive_2501.jpg",0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0
"positive_4574.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,1,0,0.5,0,0,1,0,0,0,1,0
"positive_4598.jpg",0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,0,0
"positive_5628.jpg",0,0,0,0.5,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0
"positive_5830.jpg",0,0,1,0,0.5,0,1,0,0,0.333333333333333,0.5,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"positive_5831.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"positive_7325.jpg",0,1,0,1,0,0,0.25,0.5,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0.5,0
"positive_7502.jpg",1,0,0.5,0,0,0,1,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,1,0,1,0,0
"positive_8120.jpg",1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"positive_8470.jpg",1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
"positive_EF1.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"positive_g6.jpg",1,0,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"positive_hp2.jpg",0,0.5,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0.333333333333333
"positive_m9.jpg",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_p1.jpg",0,0,0,0,0.666666666666667,0.25,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0
"positive_s1.jpg",1,0,0.5,0,0,1,0,1,0.5,1,0,0,0,0,0.5,0,1,1,0,0,0,0,0,0,1
"positive_t1.jpg",0,0,0,0.333333333333333,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,1,0
