"","neutral_103.jpg","neutral_104.jpg","neutral_106.jpg","neutral_156.jpg","neutral_169.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_D.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N12.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_N34.bmp","neutral_NF1.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP3.jpg"
"neutral_103.jpg",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0.5,0,0
"neutral_104.jpg",0,0,1,0,0,1,0,0.333333333333333,1,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"neutral_106.jpg",0,1,0,0,0.5,1,1,0.5,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0
"neutral_169.jpg",0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"neutral_2019.jpg",0,1,1,0,0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"neutral_2200.jpg",1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0
"neutral_2305.jpg",1,0.333333333333333,0.5,0,0.5,0,1,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"neutral_2393.jpg",0,1,0,0,0,0.5,0,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0
"neutral_2442.jpg",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"neutral_2745.1.jpg",0,0.666666666666667,0.5,0,0,1,1,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"neutral_D.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0
"neutral_N04.bmp",0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"neutral_N05.bmp",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.666666666666667,0,0.75,1,0,0,0,0,0
"neutral_N07.bmp",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0
"neutral_N12.bmp",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0
"neutral_N20.bmp",0.2,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,1,0.5,0,1,0,0,0,0,0,0,0
"neutral_N22.bmp",0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
"neutral_N31.bmp",0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,1,0
"neutral_N34.bmp",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0.5,0
"neutral_NF1.jpg",0,0,0,0,1,0,0,1,0,0,0.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_NF4.jpg",0,0.5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
"neutral_r.jpg",0.5,0,0.5,0,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"neutral_S5.jpg",0,0,0,0,0,1,1,1,0.5,0,0,1,0,0,0,0,0,1,1,0.5,0,0.5,0,0,1
"neutral_SP3.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,0
