"","positive_012.jpg","positive_047.jpg","positive_056.jpg","positive_078.jpg","positive_1601.jpg","positive_2002.jpg","positive_2034.jpg","positive_2217.jpg","positive_2395.jpg","positive_2550.jpg","positive_4598.jpg","positive_4689.jpg","positive_7499.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_8300.jpg","positive_8461.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_s1.jpg","positive_s5.jpg","positive_hp2.jpg","positive_y5.jpg"
"positive_012.jpg",0,0,1,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_047.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_056.jpg",1,1,0,0,1,0,0.666666666666667,0.666666666666667,1,0,0,0,1,1,0.666666666666667,0.5,0,1,0,0.666666666666667,0,0,0,0,0
"positive_078.jpg",0.5,0,0,0,0,0,1,0.333333333333333,0.5,0.5,0,1,0,0.5,0.5,0,0,0.5,0,0.5,0,0,0,1,0
"positive_1601.jpg",1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2034.jpg",0,0,0.666666666666667,1,0,0,0,0,1,1,0,0,1,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0
"positive_2217.jpg",0,0,0.666666666666667,0.333333333333333,1,0,0,0,0,0.5,0,1,0,0.5,1,0,0,0,0,1,0.5,0,0,0,0
"positive_2395.jpg",1,0,1,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0.333333333333333,0,1,0,1,0,0
"positive_2550.jpg",0,0,0,0.5,1,0,1,0.5,0,0,0.25,0.2,0,0,0,1,0,0,0,0,0.666666666666667,0,0,0,0
"positive_4598.jpg",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"positive_4689.jpg",0,0,0,1,0,0,0,1,0,0.2,0,0,0,1,0.5,0,0,0.5,0,0,0,0,1,0,0
"positive_7499.jpg",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,1,0
"positive_7502.jpg",0,0,1,0.5,0,0,0.5,0.5,0,0,0,1,0,0,1,0,0.333333333333333,1,0,1,1,0,0,1,0
"positive_7660.jpg",0,0,0.666666666666667,0.5,1,0,0,1,0.5,0,0,0.5,0,1,0,0,0,1,0,0.666666666666667,1,0,1,0,0.333333333333333
"positive_8120.jpg",0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_8300.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0
"positive_8461.jpg",0,0,1,0.5,1,0,0,0,0,0,1,0.5,0.666666666666667,1,1,1,0,0,0,0,1,0,0,0,0
"positive_g6.jpg",0,0,0,0,0,0,0.5,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_m9.jpg",0,0,0.666666666666667,0.5,0,0,0,1,0,0,0,0,1,1,0.666666666666667,0,0,0,0,0,1,0,1,0,0
"positive_p1.jpg",0,0,0,0,0,0,0.5,0.5,1,0.666666666666667,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"positive_s1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_s5.jpg",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"positive_hp2.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"positive_y5.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0
