"","positive_012.jpg","positive_032.jpg","positive_042.jpg","positive_047.jpg","positive_056.jpg","positive_078.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2391.jpg","positive_2501.jpg","positive_2550.jpg","positive_4598.jpg","positive_4689.jpg","positive_7499.jpg","positive_7660.jpg","positive_8120.jpg","positive_8300.jpg","positive_8461.jpg","positive_b.jpg","positive_c1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_s5.jpg","positive_S22.jpg"
"positive_012.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0.666666666666667,1,0.5,0,1,0.5,0,0
"positive_032.jpg",0,0,0,1,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0,0,1,0,0,0,1,0,0
"positive_042.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0.666666666666667,1,1,1,0,0,1,0,0,0,0,0,0,0
"positive_047.jpg",0,1,0.5,0,0,0,1,0,0,0,1,0.666666666666667,0.666666666666667,0,0,0,1,0,0,0,0.5,0,0.5,0,0
"positive_056.jpg",0,0,0,0,0,1,0,0,0,0,0,1,0.5,1,1,0,0.5,0,0.666666666666667,0,0,0,1,0,1
"positive_078.jpg",0,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
"positive_1601.jpg",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.666666666666667,0,0,0,0,0,0,1,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2025.jpg",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333333333333,0,0,0,0
"positive_2391.jpg",0,1,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.5
"positive_2501.jpg",0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,1,0,0
"positive_2550.jpg",1,0.5,0.666666666666667,0.666666666666667,1,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"positive_4598.jpg",0,0,1,0.666666666666667,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"positive_4689.jpg",0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0.333333333333333,0,0,1,0,0
"positive_7499.jpg",1,0.5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,1,0.5,0
"positive_7660.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"positive_8120.jpg",0.5,0,0,1,0.5,1,0.666666666666667,0,0,0,0,0.5,0,1,0,1,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0
"positive_8300.jpg",0.666666666666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0
"positive_8461.jpg",1,1,0,0,0.666666666666667,0,0,0,0,1,0,0,0,0,1,0,0.333333333333333,0,0,0,0.5,0,1,0,0.5
"positive_b.jpg",0.5,0,0,0,0,0,0,0,0.5,0,1,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.5,0,0,0,0
"positive_c1.jpg",0,0,0,0.5,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0.666666666666667,0,0
"positive_g6.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"positive_hp2.jpg",0.5,1,0,0.5,1,1,0,0,0,0,1,0,1,1,1,1,0.333333333333333,0,1,0,0.666666666666667,0,0,0,0
"positive_s5.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"positive_S22.jpg",0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0
