"","neutral_103.jpg","neutral_106.jpg","neutral_116.jpg","neutral_121.jpg","neutral_156.jpg","neutral_157.jpg","neutral_169.jpg","neutral_191.jpg","neutral_194.jpg","neutral_2200.jpg","neutral_2215.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2745.1.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N13.bmp","neutral_N19.bmp","neutral_N31.bmp","neutral_n5.jpg","neutral_NF1.jpg","neutral_NF4.jpg","neutral_S5.jpg"
"neutral_103.jpg",0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0.4,0.2,0,0,0,0,0,0.5,0,0
"neutral_106.jpg",0,0,0,0.333333333333333,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,0,1,0,0.6,0.5,1
"neutral_116.jpg",1,0,0,1,0.333333333333333,0.5,0.5,1,0,0,0,1,1,0,0.5,1,0,0,0,0,0,0,0.5,0,0
"neutral_121.jpg",0,0.333333333333333,1,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"neutral_156.jpg",0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0
"neutral_157.jpg",1,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0
"neutral_169.jpg",0,0,0.5,0,1,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_191.jpg",0,0,1,0,0,0,0.333333333333333,0,1,0,0,0,0,1,0,0,1,0.5,0,0,0,0,0,0,0
"neutral_194.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0,0,0,0
"neutral_2200.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"neutral_2215.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0
"neutral_2305.jpg",0,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"neutral_2393.jpg",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.5,0,0,0,0.5
"neutral_2745.1.jpg",0,0,0,0,0,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0
"neutral_J2.jpg",1,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.333333333333333,0,0,1,1,0,0
"neutral_N04.bmp",0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
"neutral_N05.bmp",0.2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"neutral_N07.bmp",0,0,0,1,0.5,0,0,0.5,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_N13.bmp",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,1,0.5,0,0,0
"neutral_N19.bmp",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
"neutral_N31.bmp",0,1,0,0,0,0,0,0,1,0,0.5,0,0.5,0.333333333333333,0,1,0,0,1,1,0,0,0.25,0,1
"neutral_n5.jpg",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0.5,0,0,0,0,1,0
"neutral_NF1.jpg",0.5,0.6,0.5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0.25,0,0,0.666666666666667,0
"neutral_NF4.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666666666666667,0,0
"neutral_S5.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0,0
