"","negative_113.jpg","negative_206.jpg","negative_2122.jpg","negative_2130.jpg","negative_214.jpg","negative_215.jpg","negative_216.jpg","negative_224.jpg","negative_228.jpg","negative_2410.bmp","negative_3180.jpg","negative_3280.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_9600.jpg","negative_AF3.jpg","negative_b7.jpg","negative_c5.jpg","negative_DP3.jpg","negative_I1.jpg","negative_L08.bmp","negative_MF2.jpg","negative_T1.jpg"
"negative_113.jpg",0,0,0.5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
"negative_206.jpg",0,0,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0,0,0,0,0,0.5,0,0,0,0
"negative_2122.jpg",0.5,0,0,0,0.666666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"negative_2130.jpg",0,0,0,0,0.5,0,0.5,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0.5
"negative_214.jpg",1,0,0.666666666666667,0.5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.5,1,1,0,1,1
"negative_215.jpg",1,0,0.5,0,0,0,1,1,0.5,1,0,0,0,0,0,0,1,0,0,0,0.5,1,0.5,0,0
"negative_216.jpg",0,0,0,0.5,0,1,0,0,0,1,0,0.5,0,0.666666666666667,0,0,1,0,0,0,0.5,1,0,0,0
"negative_224.jpg",0,0,0,0.666666666666667,0,1,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0.5,1,0,0.6,0,0.5
"negative_228.jpg",0,0,0,0,0,0.5,0,0,0,0,1,0.5,0,0,0,0,1,0,1,1,0,0,0,0,1
"negative_2410.bmp",0,1,0,0,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1
"negative_3180.jpg",1,0,0,0,1,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"negative_3280.jpg",1,0.5,0,0,0,0,0.5,1,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,0.25,1,0
"negative_6510.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6555.jpg",0,1,0,0,1,0,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0,0
"negative_65701_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
"negative_6821.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"negative_9600.jpg",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1
"negative_AF3.jpg",0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"negative_b7.jpg",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"negative_c5.jpg",0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"negative_DP3.jpg",1,0.5,0,1,1,0.5,0.5,1,0,1,0,0.666666666666667,0,0,0,0,0.5,0,0,0,0,0,1,0.5,0.75
"negative_I1.jpg",1,0,1,0,1,1,1,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,1
"negative_L08.bmp",0,0,0,0,0,0.5,0,0.6,0,0,1,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0
"negative_MF2.jpg",1,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.5,0,0,0,0
"negative_T1.jpg",1,0,0,0.5,1,0,0,0.5,1,1,0,0,0,0,0.333333333333333,0,1,0,0,0,0.75,1,0,0,0
