"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_106.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_156.jpg","neutral_169.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2745.1.jpg","neutral_2850.jpg","neutral_BP5.jpg","neutral_N05.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_NF1.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_S5.jpg"
"neutral_082.jpg",0,0,0,1,0,0.333333333333333,0,0,0,0,1,0.5,0.666666666666667,0,0,0,1,0,0,0,0,0,0,0.75,0
"neutral_099.jpg",0,0,0,0,0,0.25,0,0,0,0,0.333333333333333,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"neutral_103.jpg",0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"neutral_106.jpg",1,0,1,0,0,0,0.5,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0.5,0,0,1
"neutral_114.jpg",0,0,1,0,0,0,1,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_116.jpg",0.333333333333333,0.25,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0
"neutral_117.jpg",0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_156.jpg",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"neutral_169.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"neutral_194.jpg",0,0,0,0,0,0,0,0.5,1,0,0.5,0,0.5,1,0,0,0,0.5,1,0,0,0,0,0,0
"neutral_199.jpg",1,0.333333333333333,0,0,0.75,1,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0.5,1,0,0,0,0,0.5,0
"neutral_2200.jpg",0.5,0,1,0.75,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0,0,1,1,0,0
"neutral_2745.1.jpg",0.666666666666667,0,0,0,0,1,0,0,0,0.5,0,0.25,0,0,0,0,0,1,0,1,0,0,0.25,0,1
"neutral_2850.jpg",0,1,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0
"neutral_BP5.jpg",0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"neutral_N05.bmp",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"neutral_N13.bmp",1,1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,1,0,0,1,0,0,0.333333333333333,0,0,0
"neutral_N17.bmp",0,0,0,0,0,0,0,0,1,0.5,0.5,0,1,0,0,1,0,0,1,0,1,0,0,0,1
"neutral_N20.bmp",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"neutral_N22.bmp",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"neutral_N33.bmp",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"neutral_NF1.jpg",0,0,1,0.5,1,0,0,0,0,0,0,1,0,0,1,0,0.333333333333333,0,0,0,0,0,1,0,0
"neutral_NF4.jpg",0,0,1,0,0,0,0,0,0,0,0,1,0.25,0.5,1,0,0,0,0,0,0,1,0,0.5,0
"neutral_r.jpg",0.75,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"neutral_S5.jpg",0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
