"","negative_206.jpg","negative_2130.jpg","negative_214.jpg","negative_216.jpg","negative_217.jpg","negative_224.jpg","negative_251.jpg","negative_2750.jpg","negative_2753.jpg","negative_3280.jpg","negative_6212.jpg","negative_6510.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_6821.jpg","negative_9190.jpg","negative_9530.bmp","negative_9600.jpg","negative_b7.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_FP3.jpg","negative_L08.bmp","negative_L29.bmp","negative_MF2.jpg"
"negative_206.jpg",0,0,0,0,0,0.333333333333333,0,1,0.5,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1
"negative_2130.jpg",0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,1,0,0,0,0.5,0,0,0
"negative_214.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1
"negative_216.jpg",0,0,1,0,1,0,0,0,0,0,0.666666666666667,1,1,0,0.666666666666667,0,1,0,0,0,0,0,1,0,0
"negative_217.jpg",0,0,0,1,0,0,0,0.5,0,0,0,0,1,0,0.333333333333333,0,0,0.25,0,0,0,0,1,0,0
"negative_224.jpg",0.333333333333333,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,1
"negative_251.jpg",0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0.333333333333333,0
"negative_2750.jpg",1,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0,1,0
"negative_2753.jpg",0.5,0.666666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"negative_3280.jpg",1,0,0,0,0,0,0,0,1,0,0,1,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0
"negative_6212.jpg",0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"negative_6510.jpg",0,0,0,1,0,1,0,0,0,1,0,0,1,0,0.25,0,0,0.666666666666667,0.5,0,0,0,0,0,1
"negative_6555.jpg",0,0,0,1,1,0,0,0,0,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0
"negative_65701_1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0
"negative_6821.jpg",0,0.333333333333333,0.5,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0
"negative_9190.jpg",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"negative_9530.bmp",1,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0.5,1,1,0,0,0
"negative_9600.jpg",0,1,0,0,0.25,0,0,0,0,0,0,0.666666666666667,0,0,1,0,0,0,0.5,0,0,0,0.5,0,1
"negative_b7.jpg",0,0,0,0,0,0,1,0,0,1,0,0.5,0,1,0,0,0,0.5,0,0,0,0,1,0,0
"negative_DF1.jpg",1,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0,1,0.5,0,0,0,1,0,0,0,1
"negative_DP3.jpg",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
"negative_FP3.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.333333333333333,1,1
"negative_L08.bmp",1,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.333333333333333,0,0,0
"negative_L29.bmp",1,0,0,0,0,0,0.333333333333333,1,0,0,0,0,0.5,0,0,1,0,0,0,0,1,1,0,0,0
"negative_MF2.jpg",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
