"","positive_032.jpg","positive_041.jpg","positive_047.jpg","positive_056.jpg","positive_073.jpg","positive_078.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2034.jpg","positive_2304.jpg","positive_2306.jpg","positive_2395.jpg","positive_4574.jpg","positive_7499.jpg","positive_7660.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_EF1.jpg","positive_hp2.jpg","positive_r4.jpg","positive_t1.jpg","positive_y5.jpg"
"positive_032.jpg",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"positive_041.jpg",0,0,1,1,0,0,0,0,0,1,0,0.333333333333333,0,0,1,0,0,1,0,0,0,0,0,1,0
"positive_047.jpg",0,1,0,1,1,0,0,1,0,0,0,0,0.6,1,0,0,0,0,1,0,0,0,0,0,0
"positive_056.jpg",0,1,1,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0,1,0,1,0,0,0,0,0,1
"positive_073.jpg",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,1,1,0,0,0,0
"positive_078.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
"positive_1601.jpg",0,0,0,0,1,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0
"positive_2002.jpg",0,0,1,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"positive_2025.jpg",1,0,0,0,0,0,0.5,0,0,0,0,0.333333333333333,0.5,0.6,0,0,0,0,0,0,1,0,0,0,1
"positive_2034.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"positive_2304.jpg",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"positive_2306.jpg",0,0.333333333333333,0,1,0,0,0,0,0.333333333333333,0,0,0,1,1,0,0,0,0,0.5,0,0,0.5,0,0,0.5
"positive_2395.jpg",1,0,0.6,0.5,0,0,0.5,0,0.5,0,1,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5
"positive_4574.jpg",1,0,1,0.5,0,0,0,0,0.6,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"positive_7499.jpg",0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.333333333333333,0,1,0,1,0
"positive_7660.jpg",0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
"positive_8461.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0,0,1,1,0,0
"positive_8470.jpg",0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0.5,0.333333333333333,1,0,0
"positive_b.jpg",0,0,1,1,0,0,0.5,1,0,0,1,0.5,0,1,0,0,1,0,0,0,0,0,1,0.5,0.666666666666667
"positive_c1.jpg",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0
"positive_EF1.jpg",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_hp2.jpg",0,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,1,1,1,0.333333333333333,0,1,0,0,0,0,0
"positive_r4.jpg",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"positive_t1.jpg",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0
"positive_y5.jpg",0,0,0,1,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0
