"","neutral_099.jpg","neutral_104.jpg","neutral_114.jpg","neutral_117.jpg","neutral_121.jpg","neutral_124.jpg","neutral_169.jpg","neutral_191.jpg","neutral_199.jpg","neutral_2200.jpg","neutral_2442.jpg","neutral_2745.1.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N07.bmp","neutral_N17.bmp","neutral_N22.bmp","neutral_N31.bmp","neutral_NF1.jpg","neutral_r.jpg","neutral_S5.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,0,0,0,1,0.5,1,1,0.5,0,1,0,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0
"neutral_104.jpg",0,0,1,0,0.666666666666667,0,0.5,0,1,0,1,0,0,1,0,0.25,0,0,0,0,0,0.5,0,1,0
"neutral_114.jpg",0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_117.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"neutral_121.jpg",1,0.666666666666667,0,0,0,0,0,1,1,0,1,0.666666666666667,0,0.333333333333333,0,0.5,0.5,0,0,0,0,0,0.5,0,0
"neutral_124.jpg",0.5,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0
"neutral_169.jpg",1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,0
"neutral_191.jpg",1,0,0,0,1,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"neutral_199.jpg",0.5,1,1,0,1,1,1,1,0,0,0.5,0.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0
"neutral_2200.jpg",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0
"neutral_2442.jpg",1,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0
"neutral_2745.1.jpg",0,0,1,0,0.666666666666667,1,0,0,0.5,1,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0
"neutral_D.jpg",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0
"neutral_J2.jpg",0.333333333333333,1,1,1,0.333333333333333,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0.666666666666667,0,0.5,0,0.5
"neutral_N04.bmp",0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,1,0,1,1,0,0,0,0
"neutral_N05.bmp",0,0.25,0,0,0.5,0.5,1,0,0,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0,0.2,0,0
"neutral_N07.bmp",0,0,0,0,0.5,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"neutral_N17.bmp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0
"neutral_N22.bmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"neutral_N31.bmp",0,0,0,0,0,0,0.666666666666667,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0
"neutral_NF1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0,1,0,1,0,1,0,0,0
"neutral_r.jpg",0,0.5,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0,0
"neutral_S5.jpg",0,0,0,1,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.2,0,0,0,0,0,0.666666666666667,0,1,1
"neutral_SP2.jpg",0,1,0,1,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_SP3.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0
