"","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_215.jpg","negative_216.jpg","negative_228.jpg","negative_2750.jpg","negative_2810.jpg","negative_6211.jpg","negative_6212.jpg","negative_6311.jpg","negative_6510.jpg","negative_6555.jpg","negative_9530.bmp","negative_c5.jpg","negative_DF1.jpg","negative_FP3.jpg","negative_h11.bmp","negative_I1.jpg","negative_L02.bmp","negative_L04.bmp","negative_L08.bmp","negative_L29.bmp","negative_SF4.jpg"
"negative_207.jpg",0,0,0,0,0,0,0,1,0.333333333333333,0,1,0,0,0,0,0,0,1,0,0.333333333333333,0,1,1,1,0.166666666666667
"negative_2095.jpg",0,0,0,0,1,0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0.5,0,0,0,1,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_2130.jpg",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.5,0,0,1,0,0,0,0,0
"negative_215.jpg",0,1,0,0,0,1,0,0,0,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0
"negative_216.jpg",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_228.jpg",0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0.5,0.333333333333333,0.5,0,0,0,0
"negative_2750.jpg",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.666666666666667,0,0
"negative_2810.jpg",0.333333333333333,0,0,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,1,0,0.5
"negative_6211.jpg",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"negative_6212.jpg",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,1,0,0
"negative_6311.jpg",0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0
"negative_6510.jpg",0,0,0,1,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0.5,1,0,0,0,0,0,0
"negative_6555.jpg",0,0.333333333333333,0,0,0.333333333333333,0,1,0,0,1,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1
"negative_9530.bmp",0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0.5,1,1
"negative_c5.jpg",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,0,1,0,1,0.5,0
"negative_DF1.jpg",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0.5
"negative_FP3.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,1,1,1,0,1,0,0
"negative_h11.bmp",0,0,0,0,0,0,0.5,1,1,0,0,0,1,0,0,0,0,1,0,0.5,0,0,0,1,0
"negative_I1.jpg",0.333333333333333,0.5,0,1,0,0,0.333333333333333,1,0,0,0.333333333333333,1,0,0,0,0,0,1,0.5,0,0,0,1,0,0
"negative_L02.bmp",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"negative_L04.bmp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"negative_L08.bmp",1,0,0,0,1,0,0,0.666666666666667,1,0,1,0,0,0,0.5,1,0,1,0,1,0,0,0,1,0.333333333333333
"negative_L29.bmp",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,1,0,1,0,1,0,0
"negative_SF4.jpg",0.166666666666667,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0.333333333333333,0,0
