"","neutral_104.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_124.jpg","neutral_186.jpg","neutral_2394.jpg","neutral_2442.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_D.jpg","neutral_J2.jpg","neutral_N04.bmp","neutral_N05.bmp","neutral_N13.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_SP2.jpg","neutral_SP3.jpg"
"neutral_104.jpg",0,0,0,1,0,0,1,0,0,1,0,0,0.5,1,0,0,0,0,1,0,0,1,0,0,0
"neutral_114.jpg",0,0,1,0.5,0,0,0,0.5,1,0,0,0,0,1,0,0.5,0,0,0,1,0,0,0.5,1,1
"neutral_116.jpg",0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.5,0
"neutral_117.jpg",1,0.5,1,0,0,0,0,0,0.333333333333333,0,0,0,1,1,0,0,0,0,0.333333333333333,0,0,0,0,0,0.25
"neutral_124.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
"neutral_186.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,1
"neutral_2394.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,1,0,0.5,1,1,0,0,0.5,0,0,0
"neutral_2442.jpg",0,0.5,1,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,1,0,0,0.333333333333333,0,0.25,0
"neutral_2495.jpg",0,1,0,0.333333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.666666666666667,1,0
"neutral_2745.1.jpg",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"neutral_BP5.jpg",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.5,0
"neutral_D.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.5,0,0,0,0,0,1
"neutral_J2.jpg",0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.666666666666667,0.5
"neutral_N04.bmp",1,1,0,1,0,0,0.666666666666667,1,0,0,0,0,0,0,0,0.333333333333333,0,0,1,1,0,0,0,0.5,0
"neutral_N05.bmp",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
"neutral_N13.bmp",0,0.5,0,0,1,1,0,0,0,0,0,1,0,0.333333333333333,0,0,0,1,0,0,0,0,0,1,0
"neutral_N17.bmp",0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"neutral_N19.bmp",0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0.5,0,0,0,0,0,0.5
"neutral_N22.bmp",1,0,0.333333333333333,0.333333333333333,1,0,1,1,0,0,0,0.5,0,1,1,0,0,0.5,0,0,0,0,0,0,0
"neutral_N33.bmp",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0
"neutral_n5.jpg",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_NF4.jpg",1,0,0,0,0,0,0.5,0.333333333333333,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"neutral_r.jpg",0,0.5,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_SP2.jpg",0,1,0.5,0,0,0.5,0,0.25,1,0,0.5,0,0.666666666666667,0.5,0,1,0,0,0,0.333333333333333,0,0,0,0,1
"neutral_SP3.jpg",0,1,0,0.25,1,1,0,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,1,0
