"","positive_012.jpg","positive_015.jpg","positive_041.jpg","positive_042.jpg","positive_047.jpg","positive_073.jpg","positive_1601.jpg","positive_2002.jpg","positive_2025.jpg","positive_2034.jpg","positive_2217.jpg","positive_2304.jpg","positive_2306.jpg","positive_4574.jpg","positive_4598.jpg","positive_4689.jpg","positive_5628.jpg","positive_5830.jpg","positive_7502.jpg","positive_8470.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_8300.jpg","positive_y5.jpg"
"positive_012.jpg",0,0.333333333333333,0,0.666666666666667,0,0,1,0,1,0,0,0.5,1,1,0.5,0,0,0,0.5,0.666666666666667,1,0.5,1,1,0
"positive_015.jpg",0.333333333333333,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.5,0,1,0,0,0,0,1,0,1
"positive_041.jpg",0,0,0,1,0,0,0,0,0,1,0,0,0.6,0,0,0,0,0,1,0,0,0,0,1,0
"positive_042.jpg",0.666666666666667,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,1,0,0,0.5,0,0
"positive_047.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
"positive_073.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,1,0,0,0,1,0,0
"positive_1601.jpg",1,1,0,0,0,0,0,1,0,0,0,1,0.5,0,0,0,0,1,0,0,0,1,0,0,0
"positive_2002.jpg",0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,1,0,0,0,0,0,0,1,0,0,0,0
"positive_2025.jpg",1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,0,0,0,0.5
"positive_2034.jpg",0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0
"positive_2217.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,1,0,0,1,0,0,0.5,0,0,0,1
"positive_2304.jpg",0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"positive_2306.jpg",1,0,0.6,0.5,1,0.5,0.5,0.5,0,0.5,0.333333333333333,0,0,0,0.333333333333333,0,0.666666666666667,0,1,1,0,0,0,1,0
"positive_4574.jpg",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_4598.jpg",0.5,0,0,0,0,0.5,0,0,0,0,1,0,0.333333333333333,0,0,0,1,0,1,0,0,0,0,0,0
"positive_4689.jpg",0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_5628.jpg",0,0,0,0,0,1,0,0,0,0,0,0,0.666666666666667,0,1,0,0,0,1,1,0,0,0,0,0
"positive_5830.jpg",0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0.5,0,0,0,0,1,0,1,0,0
"positive_7502.jpg",0.5,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.333333333333333,1,0
"positive_8470.jpg",0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"positive_g6.jpg",1,0,0,0,0,0,0,1,0.666666666666667,0,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0
"positive_m9.jpg",0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"positive_p1.jpg",1,1,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,1,0,0,0
"positive_8300.jpg",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"positive_y5.jpg",0,1,0,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
