"","neutral_099.jpg","neutral_103.jpg","neutral_106.jpg","neutral_114.jpg","neutral_116.jpg","neutral_117.jpg","neutral_157.jpg","neutral_194.jpg","neutral_199.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2745.1.jpg","neutral_J2.jpg","neutral_N07.bmp","neutral_N12.bmp","neutral_N13.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_SP3.jpg"
"neutral_099.jpg",0,0,0,0,0,0.333333333333333,1,0,0,1,0,0,0,1,0.5,1,0,0,0,0,0,1,0,0,0
"neutral_103.jpg",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"neutral_106.jpg",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"neutral_114.jpg",0,0,0,0,0.75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.5,0,1
"neutral_116.jpg",0,1,0,0.75,0,1,0,0,0,0,0.5,0,0,0.5,1,0,0.5,0.5,0,0,1,0,0,0,0
"neutral_117.jpg",0.333333333333333,1,0,0,1,0,0,0,1,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0,0,0,1
"neutral_157.jpg",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.666666666666667,0,0,1,0,1,0,0,0,0
"neutral_194.jpg",0,0,1,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.5,1,1,0,0.5,1,0,0,0,0,0
"neutral_199.jpg",0,0,0,1,0,1,0,0.666666666666667,0,0.5,1,0,0.5,0,0,0.4,0,0,0.5,1,0,0,0,0,0
"neutral_2305.jpg",1,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"neutral_2393.jpg",0,0,0,1,0.5,0,1,0,1,0,0,0,1,0,0,0,0.333333333333333,0,0,1,0.5,0,0,0,0
"neutral_2394.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"neutral_2745.1.jpg",0,0,0,0,0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0
"neutral_J2.jpg",1,1,0,0,0.5,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"neutral_N07.bmp",0.5,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
"neutral_N12.bmp",1,0,0,0,0,0,0.666666666666667,1,0.4,0,0,0,0,0,1,0,1,1,0.5,0,0.5,0,0,0,0
"neutral_N13.bmp",0,0,1,0,0.5,0,0,1,0,0,0.333333333333333,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"neutral_N19.bmp",0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,1,1,0,0.5,0,0,0,0,0,0
"neutral_N20.bmp",0,0,0,0,0,0,1,0.5,0.5,0,0,0,1,0,1,0.5,1,0.5,0,0,1,0,0,0,0
"neutral_N22.bmp",0,0,0,0,0,0,0,1,1,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0
"neutral_N33.bmp",0,0,1,0,1,0,1,0,0,0,0.5,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0
"neutral_n5.jpg",1,1,1,0.666666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"neutral_NF4.jpg",0,0,0,0.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.5
"neutral_r.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_SP3.jpg",0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0
