"","neutral_082.jpg","neutral_099.jpg","neutral_103.jpg","neutral_156.jpg","neutral_169.jpg","neutral_191.jpg","neutral_2019.jpg","neutral_2200.jpg","neutral_2305.jpg","neutral_2393.jpg","neutral_2394.jpg","neutral_2495.jpg","neutral_2745.1.jpg","neutral_BP5.jpg","neutral_N01.bmp","neutral_N05.bmp","neutral_N17.bmp","neutral_N19.bmp","neutral_N20.bmp","neutral_N22.bmp","neutral_N33.bmp","neutral_n5.jpg","neutral_NF4.jpg","neutral_r.jpg","neutral_SP3.jpg"
"neutral_082.jpg",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0.333333333333333,0,1,1
"neutral_099.jpg",1,0,1,0,0,0,0,1,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0
"neutral_103.jpg",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"neutral_156.jpg",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0,1,1,0,0,0,0
"neutral_169.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1,1,1,0,0,0,0
"neutral_191.jpg",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0,0,0
"neutral_2019.jpg",0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"neutral_2200.jpg",0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0.5,0,1
"neutral_2305.jpg",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0
"neutral_2393.jpg",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,1,1,0,0,0,0
"neutral_2394.jpg",1,0,1,0,0,0,0,1,0,0,0,0.5,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333
"neutral_2495.jpg",0,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1
"neutral_2745.1.jpg",0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0.5
"neutral_BP5.jpg",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.5
"neutral_N01.bmp",0.5,0,0,0,0.5,0,0,0,0,0,0.666666666666667,0,0,0,0,0.333333333333333,1,1,0,1,0,0,0,0,0
"neutral_N05.bmp",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,1,1,1,0,0,0,0
"neutral_N17.bmp",0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"neutral_N19.bmp",0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,1,0,1,0,0.5,0,0,0,0
"neutral_N20.bmp",0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
"neutral_N22.bmp",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
"neutral_N33.bmp",0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0.5,1,1,0,0,0,0,0
"neutral_n5.jpg",0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"neutral_NF4.jpg",0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,0
"neutral_r.jpg",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.75,0,0.5
"neutral_SP3.jpg",1,0,0,0,0,0,1,1,0,0,0.333333333333333,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0
