"","negative_206.jpg","negative_207.jpg","negative_2095.jpg","negative_2122.jpg","negative_2130.jpg","negative_214.jpg","negative_215.jpg","negative_224.jpg","negative_251.jpg","negative_2753.jpg","negative_3180.jpg","negative_3280.jpg","negative_6211.jpg","negative_6212.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_9440.jpg","negative_9530.bmp","negative_9600.jpg","negative_AF3.jpg","negative_FP3.jpg","negative_L24.bmp","negative_L29.bmp","negative_MF2.jpg","negative_T1.jpg"
"negative_206.jpg",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"negative_207.jpg",0,0,1,0,0,1,1,0,1,1,0,0,1,0.5,0,1,0,0,0,0,1,0,0,0,0
"negative_2095.jpg",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
"negative_2122.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"negative_2130.jpg",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"negative_214.jpg",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.5,0,0,1,1,0,0
"negative_215.jpg",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
"negative_224.jpg",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
"negative_251.jpg",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,1,0,1,1,0
"negative_2753.jpg",1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0,1,0,0
"negative_3180.jpg",0,0,1,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,1,0,0,0,0,0,0,0,0,0
"negative_3280.jpg",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.4,0
"negative_6211.jpg",0,1,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0.5,0,0,0,0.5,0.5,0,0,0.333333333333333,0,1,0
"negative_6212.jpg",0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1,0,1,1,0,0,0,1,0,0,0
"negative_6555.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"negative_65701_1.jpg",0,1,0,0,0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0
"negative_9440.jpg",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,1,1,0,0
"negative_9530.bmp",0,0,1,0,0,0,1,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0.5,0
"negative_9600.jpg",0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0
"negative_AF3.jpg",0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_FP3.jpg",1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0.666666666666667,1,0.5,0
"negative_L24.bmp",0,0,0,0,0,1,0,0,0,0,0,0.333333333333333,0.333333333333333,1,1,0,1,1,0,0,0.666666666666667,0,1,1,1
"negative_L29.bmp",0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0.5,0,1,1,0,0,0.5
"negative_MF2.jpg",1,0,0,0,0,0,0,1,1,0,0,0.4,1,0,1,0.5,0,0.5,0,0,0.5,1,0,0,0
"negative_T1.jpg",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0
