"","positive_012.jpg","positive_015.jpg","positive_041.jpg","positive_047.jpg","positive_056.jpg","positive_073.jpg","positive_1601.jpg","positive_2002.jpg","positive_2306.jpg","positive_2391.jpg","positive_2501.jpg","positive_5628.jpg","positive_5831.jpg","positive_7499.jpg","positive_8300.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_hp2.jpg","positive_p1.jpg","positive_r4.jpg","positive_s1.jpg","positive_s5.jpg"
"positive_012.jpg",0,1,0,0.666666666666667,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"positive_015.jpg",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.5,0,1,1,0,1,0
"positive_041.jpg",0,0,0,0.5,1,0.5,0,0.333333333333333,0,0,0,0,0,0,0,0,0.666666666666667,0,1,0,0.666666666666667,0,0,0.5,0
"positive_047.jpg",0.666666666666667,1,0.5,0,0,0,0.5,0,0,0.4,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,0,0,0
"positive_056.jpg",0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
"positive_073.jpg",0.5,0,0.5,0,1,0,0,0,0.5,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0
"positive_1601.jpg",0,0,0,0.5,1,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1
"positive_2002.jpg",0,0,0.333333333333333,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,0,0,0,0.5,1,0,0,0,0.5,0.5
"positive_2306.jpg",0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"positive_2391.jpg",1,0,0,0.4,0,0,1,1,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0.5,0,0.666666666666667,0,0,1
"positive_2501.jpg",0,1,0,0.5,0,0,0,0.666666666666667,0,0,0,0,1,0,0,0.5,0.25,0,0,0,0,1,1,0,1
"positive_5628.jpg",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"positive_5831.jpg",0,1,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0,1,0,1,0,0,0
"positive_7499.jpg",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0
"positive_8300.jpg",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
"positive_b.jpg",0,1,0,0,0,0,1,0,1,0.666666666666667,0.5,0,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0
"positive_c1.jpg",0,0,0.666666666666667,0,1,0.5,0.5,0,0,0,0.25,0,0,0.5,1,0,0,0,1,0,0.5,0,0,0,0
"positive_d6.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0
"positive_EF1.jpg",0,0.5,1,0,1,0,0,0.5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"positive_g6.jpg",0,0,0,0,0,0,0,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"positive_hp2.jpg",0,1,0.666666666666667,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,1,0,0,1,0,0,0.333333333333333
"positive_p1.jpg",0,1,0,1,0,0,0,0,0,0.666666666666667,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"positive_r4.jpg",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"positive_s1.jpg",1,1,0.5,0,0,0,0,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"positive_s5.jpg",0,0,0,0,0,0,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0
