"","positive_012.jpg","positive_042.jpg","positive_047.jpg","positive_073.jpg","positive_1601.jpg","positive_2002.jpg","positive_2300.jpg","positive_2304.jpg","positive_2391.jpg","positive_2395.jpg","positive_4574.jpg","positive_4598.jpg","positive_7502.jpg","positive_7660.jpg","positive_8120.jpg","positive_8461.jpg","positive_8470.jpg","positive_b.jpg","positive_c1.jpg","positive_d6.jpg","positive_EF1.jpg","positive_g6.jpg","positive_m9.jpg","positive_p1.jpg","positive_s5.jpg"
"positive_012.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,1,0,1,0,0,0,0
"positive_042.jpg",0,0,1,0,1,0,1,0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"positive_047.jpg",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0,1,0,1,0,0,0
"positive_073.jpg",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0
"positive_1601.jpg",0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0.5,0,0.666666666666667,0,0,0.666666666666667,0,1,0
"positive_2002.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"positive_2300.jpg",0,1,0,0,1,0,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0.333333333333333,0.333333333333333,1,1,0.5,0
"positive_2304.jpg",0,0,0,1,0,0,0.5,0,0.5,0,0,1,0,0.25,0,0,0,0,0,0,0,1,0,0,0
"positive_2391.jpg",0,0,0,0,0,0,0,0.5,0,0,1,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0
"positive_2395.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.25,0,0,0,0,0.5,0.5,0
"positive_4574.jpg",0,0.5,0,0,1,0,0,0,1,0,0,0,0.5,0,0,0,0.4,0.5,0,0,1,1,1,0,0
"positive_4598.jpg",0,0,0,0,1,0,1,1,1,0,0,0,1,0.5,0,0,1,0,0.5,1,0,1,1,1,0.333333333333333
"positive_7502.jpg",0,0,0,1,0,0,0,0,0,0.333333333333333,0.5,1,0,1,0.333333333333333,0,1,0.5,1,0.5,0,0,0,1,1
"positive_7660.jpg",0.333333333333333,1,1,0,1,0,1,0.25,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0
"positive_8120.jpg",0,0,0,1,1,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.25,0,0,0,1,0
"positive_8461.jpg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"positive_8470.jpg",0,1,1,1,0.5,0,0,0,0,0,0.4,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5
"positive_b.jpg",0,0,0.5,0,0,0,0,0,0,0.25,0.5,0,0.5,0,0,1,0,0,0,0,0.5,0,0,0,0
"positive_c1.jpg",1,0,0,1,0.666666666666667,0,0,0,0,0,0,0.5,1,0,0,1,0,0,0,0,0,1,0,0,0
"positive_d6.jpg",0,0,1,0,0,0,0.333333333333333,0,1,0,0,1,0.5,0,0.25,0,0,0,0,0,0,0,1,0.666666666666667,0
"positive_EF1.jpg",1,0,0,0,0,0,0.333333333333333,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"positive_g6.jpg",0,0,1,0,0.666666666666667,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
"positive_m9.jpg",0,1,0,1,0,0,1,0,0,0.5,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"positive_p1.jpg",0,0,0,1,1,0,0.5,0,0,0.5,0,1,1,0,1,0,0,0,0,0.666666666666667,0,0,0,0,0
"positive_s5.jpg",0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0,0.5,0,0,0,0,0,0,0,0
