"","negative_113.jpg","negative_206.jpg","negative_2095.jpg","negative_214.jpg","negative_217.jpg","negative_224.jpg","negative_228.jpg","negative_2458.jpg","negative_2810.jpg","negative_3180.jpg","negative_6212.jpg","negative_6555.jpg","negative_65701_1.jpg","negative_9190.jpg","negative_9421.jpg","negative_c5.jpg","negative_DF1.jpg","negative_DP3.jpg","negative_h11.bmp","negative_L02.bmp","negative_L08.bmp","negative_L24.bmp","negative_SF4.jpg","negative_L29.bmp","negative_T1.jpg"
"negative_113.jpg",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_206.jpg",0.5,0,0.333333333333333,1,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0.666666666666667,0,0
"negative_2095.jpg",0,0.333333333333333,0,0,0,0,1,0,0,1,0,1,0,0.333333333333333,0,0.333333333333333,0,0.5,1,0,0.333333333333333,0,0,0,0
"negative_214.jpg",0,1,0,0,0,0,1,0,0,1,0,0,0.5,0.666666666666667,0,0,0,0,1,0.5,0,0.5,0.5,1,1
"negative_217.jpg",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0
"negative_224.jpg",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0.5,1
"negative_228.jpg",0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
"negative_2458.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,1,0,0
"negative_2810.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"negative_3180.jpg",0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
"negative_6212.jpg",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"negative_6555.jpg",0,0.5,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"negative_65701_1.jpg",0,0,0,0.5,0,0,0,0,0,1,0,1,0,0,0.5,0.333333333333333,0,0.25,0.666666666666667,1,0,0,0,1,0
"negative_9190.jpg",0,0,0.333333333333333,0.666666666666667,0,0,0,0,0,1,0,0,0,0,0.5,0,0,1,0,0,1,0.5,0,0,0
"negative_9421.jpg",0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0
"negative_c5.jpg",0,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0.333333333333333,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0
"negative_DF1.jpg",0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
"negative_DP3.jpg",0,0,0.5,0,0,0,1,0.5,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0.5,0
"negative_h11.bmp",0,0,1,1,0.5,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,1,1,1,1,0
"negative_L02.bmp",0,0,0,0.5,0.5,0,0,0,0,0,1,0,1,0,0,0.333333333333333,1,0,0,0,0.666666666666667,0,0,0,0
"negative_L08.bmp",0,0,0.333333333333333,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,0,0,1,0
"negative_L24.bmp",0,0,0,0.5,0,1,0,0,0,1,1,1,0,0.5,0,0,0,0,1,0,0,0,0.5,0,0.333333333333333
"negative_SF4.jpg",0,0.666666666666667,0,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0
"negative_L29.bmp",0,0,0,1,0,0.5,1,0,0,0,0,0,1,0,0,0,1,0.5,1,0,1,0,0,0,0
"negative_T1.jpg",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0,0,0
